Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Tests
Afghanistan,2171,64,260,1847,10022
Albania,773,31,470,272,8253
Algeria,4006,450,1779,1777,6500
Andorra,745,42,468,235,1673
Angola,27,2,7,18,0
Anguilla,3,0,3,0,0
Antigua and Barbuda,24,3,11,10,113
Argentina,4285,216,1256,2813,56058
Armenia,2066,32,929,1105,21125
Aruba,100,2,79,19,1691
Australia,6753,91,5715,947,563641
Austria,15452,584,12907,1961,256399
Azerbaijan,1804,24,1325,455,143079
Bahamas,80,11,25,44,0
Bahrain,3040,8,1500,1532,129694
Bangladesh,7667,168,160,7339,64666
Barbados,80,7,39,34,2005
Belarus,14027,89,2386,11552,176625
Belgium,48519,7594,11576,29349,237963
Belize,18,2,9,7,995
Benin,64,1,33,30,0
Bermuda,111,6,48,57,2197
Bhutan,7,0,5,2,10045
Bolivia,1110,59,117,934,5791
Bosnia and Herzegovina,1757,69,727,961,30793
Botswana,23,1,5,17,6548
Brazil,80246,5541,34132,40573,339552
British Virgin Islands,6,1,3,2,0
Brunei,138,1,124,13,13580
Bulgaria,1506,66,266,1174,45208
Burkina Faso,641,43,498,100,0
Burundi,11,1,4,6,284
CAR,50,0,10,40,0
Cabo Verde,116,1,2,113,791
Cambodia,122,0,119,3,11975
Cameroon,1832,61,934,837,0
Canada,53013,3180,21187,28646,779613
Caribbean Netherlands,5,0,0,5,110
Cayman Islands,73,1,10,62,1535
Chad,73,5,33,35,0
Channel Islands,537,40,386,111,5342
Chile,16023,227,8580,7216,180517
China,82862,4633,77610,619,0
Colombia,6211,278,1411,4522,95085
Comoros,1,0,0,1,0
Congo,220,9,19,192,0
Costa Rica,719,6,323,390,13117
Croatia,2076,69,1348,659,36221
Cuba,1501,61,681,759,47347
Curaçao,16,1,13,2,343
Cyprus,850,15,148,687,58109
Czechia,7642,235,3281,4126,242088
DRC,500,31,65,404,0
Denmark,9158,452,6546,2160,193165
Diamond Princess,712,13,645,54,0
Djibouti,1089,2,642,445,13422
Dominica,16,0,13,3,383
Dominican Republic,6972,301,1301,5370,25368
Ecuador,24934,900,1558,22476,69054
