,Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Tests,Population,Population_Density,Urban_Population_%,GDP_in_Mn,Num_of_Tourists_Arrival_in_1000s
0,Afghanistan,3778,109,472,3197,14389,38928346,60,25,20682,0
1,Albania,850,31,620,199,10044,2877797,105,63,17210,5340000
2,Algeria,5369,488,2467,2414,6500,43851044,18,73,193056,2657000
3,Andorra,752,47,537,168,1673,77265,164,88,0,3042000
4,Angola,43,2,11,30,3000,32866272,26,67,96426,218000
5,Anguilla,3,0,3,0,0,15003,167,0,0,0
6,Antigua and Barbuda,25,3,16,6,153,97929,223,26,1809,269000
7,Argentina,5371,285,1659,3427,77901,45195774,17,93,515353,6942000
8,Armenia,3029,43,1218,1768,29205,2963243,104,63,13868,1652000
9,Aruba,101,3,89,9,1817,106766,593,44,2952,1082000
10,Australia,6914,97,6079,738,757250,25499884,3,86,1481460,9246000
11,Austria,15774,614,13836,1324,304069,9006398,109,57,481678,30816000
12,Azerbaijan,2279,28,1576,675,181530,10139177,123,56,47429,2633000
13,Bahamas,92,11,31,50,1500,393244,39,86,13710,1633000
14,Bahrain,4444,8,2028,2408,172158,1701575,2239,89,40707,12045000
15,Bangladesh,13134,206,2101,10827,111401,164689383,1265,39,343279,1026000
16,Barbados,83,7,53,23,2788,287375,668,31,5339,680000
17,Belarus,21101,121,5484,15496,240146,9449323,47,79,63664,11501600
18,Belgium,52011,8521,13201,30289,515233,11589623,383,98,553781,9119000
19,Belize,18,2,16,0,1043,397628,17,46,2071,489000
20,Benin,242,2,62,178,0,12123200,108,48,12129,295000
21,Bermuda,118,7,61,50,3719,62278,1246,97,0,282000
22,Bhutan,7,0,5,2,11492,771608,20,46,2939,274000
23,Bolivia,2081,102,219,1760,7651,11673021,11,69,47052,1142000
24,Bosnia and Herzegovina,2070,98,960,1012,38187,3280819,64,52,21343,1053000
25,Botswana,23,1,9,13,9066,2351627,4,73,20873,1623000
26,Brazil,141088,9637,55350,76101,339552,212559417,25,88,2062500,6621000
27,British Virgin Islands,7,1,3,3,132,30231,202,52,0,192000
28,Brunei,141,1,132,8,15300,437479,83,80,14281,278000
29,Bulgaria,1872,86,401,1385,54328,6948445,64,76,71746,9273000
30,Burkina Faso,736,48,562,126,0,20903273,76,31,16266,144000
31,Burundi,15,1,7,7,284,11890784,463,14,3714,299000
32,CAR,94,0,10,84,3498,4829767,8,43,2485,107000
33,Cabo Verde,230,2,44,184,791,555987,138,68,2208,710000
34,Cambodia,122,0,120,2,13075,16718965,95,24,29309,6201000
35,Cameroon,2267,108,1002,1157,0,26545863,56,56,42047,1081000
36,Canada,66313,4567,29942,31804,1032088,37742154,4,81,1832490,21134000
37,Caribbean Netherlands,6,0,0,6,110,26223,80,75,2208,7351484
38,Cayman Islands,81,1,41,39,3423,65722,274,97,0,463000
39,Chad,260,28,50,182,0,16425864,13,23,12547,87000
40,Channel Islands,545,40,445,60,5342,173863,915,30,0,0
41,Chile,25972,294,12160,13518,255961,19116201,26,85,313561,5723000
42,China,82886,4633,77993,260,0,1439323776,153,61,15468100,62900000
43,Colombia,9456,407,2300,6749,135352,50882891,46,80,352810,3904000
44,Comoros,8,1,0,7,0,869601,467,29,773,35900
45,Congo,274,10,33,231,0,5518087,16,75,0,156000
46,Costa Rica,773,6,461,306,15810,5094118,100,80,63460,3017000
47,Croatia,2161,86,1689,386,43378,4105267,73,58,64590,16645000
48,Cuba,1741,74,1078,589,63560,11326616,106,78,0,4684000
49,Curaçao,16,1,14,1,389,164093,370,89,0,432000
50,Cyprus,891,15,400,476,72768,1207359,131,67,26348,3939000
51,Czechia,8065,271,4408,3386,293992,10708981,139,74,259736,10611000
52,DRC,897,36,119,742,0,89561403,40,46,52475,0
53,Denmark,10218,522,7927,1769,298488,5792202,137,88,364546,12749000
54,Diamond Princess,712,13,645,54,0,0,0,0,0,0
55,Djibouti,1135,3,824,308,14857,988000,43,79,2599,0
56,Dominica,16,0,14,2,416,71986,96,74,590,63000
57,Dominican Republic,9376,380,2286,6710,38543,10847910,225,85,90459,6569000
58,Ecuador,30298,1654,3433,25211,83218,17643054,71,63,107730,2535000
59,Egypt,8476,503,1945,6028,90000,102334404,103,43,331360,11196000
60,El Salvador,742,16,257,469,37306,6486205,313,73,28202,1677300
61,Equatorial Guinea,439,4,13,422,854,1402985,50,73,12263,0
62,Eritrea,39,0,37,2,0,3546421,35,63,8116,0
63,Estonia,1725,56,704,965,61767,1326535,31,68,33235,3234000
64,Eswatini,159,2,12,145,714,1160164,67,30,0,782000
65,Ethiopia,194,4,95,95,30306,114963588,115,21,99371,849000
66,Faeroe Islands,187,0,186,1,8403,48863,35,43,0,0
67,Falkland Islands,13,0,13,0,395,3480,0,66,0,0
68,Fiji,18,0,14,4,1300,896445,49,59,5671,870000
69,Finland,5738,260,4000,1478,116500,5540720,18,86,289243,3224000
70,France,176079,26230,55782,94067,1384633,65273511,119,82,2876050,89322000
71,French Guiana,141,1,113,27,0,298682,4,87,0,0
72,French Polynesia,60,0,56,4,2816,280908,77,64,0,216300
73,Gabon,504,8,110,386,724,2225734,9,87,17893,0
74,Gambia,18,1,9,8,756,2416668,239,59,1870,552000
75,Georgia,623,10,288,325,25861,3989167,57,58,18888,4757000
76,Germany,170489,7468,141700,21321,2755770,83783942,240,76,4157120,38881000
77,Ghana,4012,18,323,3671,149948,31072940,137,57,72264,0
78,Gibraltar,146,0,142,4,3366,33691,3369,0,0,0
79,Greece,2691,150,1374,1167,94991,10423054,81,85,230500,30123000
80,Greenland,11,0,11,0,1394,56770,0,87,0,0
81,Grenada,21,0,13,8,1406,112523,331,35,1330,185000
82,Guadeloupe,153,13,104,36,0,400124,237,95,0,1549000
83,Guatemala,832,23,90,719,7200,17915568,167,52,87629,1781000
84,Guinea,2009,11,663,1335,0,13132795,53,39,13603,99000
85,Guinea-Bissau,594,2,25,567,1500,1968001,70,45,1669,0
86,Guyana,94,10,34,50,785,786552,4,27,4609,287000
87,Haiti,129,12,16,101,1142,11402528,414,57,9648,447000
88,Honduras,1685,105,154,1426,5653,9904607,89,57,25560,851000
89,Hong Kong,1045,4,960,81,154989,7496981,7140,0,402034,29263000
90,Hungary,3178,392,865,1921,99058,9660351,107,72,177734,17552000
91,Iceland,1801,10,1765,26,52745,341243,3,94,26821,2343800
92,India,59693,1985,17887,39821,1437788,1380004385,464,35,3257720,17423000
93,Indonesia,13112,943,2494,9675,143781,273523615,151,56,1208860,15810000
94,Iran,104691,6541,83837,14313,558899,83992949,52,76,495694,7295000
95,Iraq,2603,104,1661,838,122941,40222493,93,73,246932,0
96,Ireland,22541,1429,17110,4002,214761,4937786,72,63,405185,10926000
97,Isle of Man,329,23,271,35,3625,85033,149,53,0,0
98,Israel,16436,245,11229,4962,442925,8655535,400,93,403961,4121000
99,Italy,217185,30201,99023,87961,2445063,60461826,206,69,2090450,61567200
100,Ivory Coast,1602,20,754,828,12312,0,0,0,49882,0
101,Jamaica,488,9,58,421,6417,2961167,273,55,16717,2473000
102,Japan,15575,590,5146,9839,202013,126476461,347,92,5495420,31192000
103,Jordan,508,9,385,114,106314,10203134,115,91,46451,4150000
104,Kazakhstan,4834,31,1631,3172,371126,18776707,7,58,177322,8789000
105,Kenya,621,29,202,390,29430,53771296,94,28,109116,1364000
106,Kuwait,7208,47,2466,4695,196397,4270571,240,0,142999,8508000
107,Kyrgyzstan,906,12,650,244,59490,6524195,34,36,8781,423000
108,Laos,19,0,9,10,2733,7275560,32,36,22013,3770000
109,Latvia,928,18,464,446,73016,1886198,30,69,38102,1946000
110,Lebanon,796,26,223,547,48673,6825445,667,31,60620,1964000
111,Liberia,199,20,79,100,0,5057681,53,53,3217,0
112,Libya,64,3,24,37,2338,6871292,4,78,50424,0
113,Liechtenstein,82,1,55,26,900,38128,238,15,0,85300
114,Lithuania,1436,49,765,622,172191,2722289,43,71,57602,2825000
115,Luxembourg,3871,100,3526,245,53257,625978,242,88,73693,1018000
116,MS Zaandam,9,2,0,7,0,0,0,0,0,0
117,Macao,45,0,40,5,0,649335,21645,0,62158,18493000
118,Madagascar,193,0,101,92,3968,27691018,48,39,13542,291000
119,Malawi,43,3,14,26,1188,19129952,203,18,7861,871000
120,Malaysia,6535,107,4864,1564,245102,32365999,99,78,401985,25832000
121,Maldives,744,3,20,721,9863,540544,1802,35,6213,1484000
122,Mali,668,35,285,348,2172,20250833,17,44,19332,14000
123,Malta,489,5,419,65,40493,441543,1380,93,16338,2599000
124,Martinique,183,14,83,86,0,375265,354,92,228,6800
125,Mauritania,8,1,6,1,1842,4649658,5,57,5697,0
126,Mauritius,332,10,320,2,60466,1271768,626,41,15757,1399000
127,Mayotte,854,10,352,492,4000,272815,728,46,0,0
128,Mexico,29616,2961,17781,8874,110916,128932753,66,84,1297750,41313000
129,Moldova,4728,150,1826,2752,20447,4033963,123,21,12793,160000
130,Monaco,95,4,82,9,0,39242,26337,90,0,347000
131,Mongolia,42,0,13,29,9137,3278290,2,67,14960,529000
132,Montenegro,324,8,267,49,7816,628066,47,68,5740,2077000
133,Montserrat,11,1,7,3,36,4992,50,10,0,0
134,Morocco,5711,186,2324,3201,59871,36910560,83,64,129056,12289000
135,Mozambique,82,0,27,55,3356,31255435,40,38,16294,2743000
136,Myanmar,176,6,67,103,10227,54409800,83,31,71403,3551000
137,Namibia,16,0,9,7,1283,2540905,3,55,14627,1499000
138,Nepal,102,0,31,71,70023,29136808,203,21,33035,1173000
139,Netherlands,42093,5359,0,36484,249655,17134872,508,92,954931,18780000
140,New Caledonia,18,0,18,0,5213,285498,16,72,0,120000
141,New Zealand,1490,21,1347,122,175835,4822233,18,87,224943,3686000
142,Nicaragua,16,5,7,4,0,6624554,55,57,12459,1256000
143,Niger,795,44,600,151,5488,24206644,19,17,10628,157000
144,Nigeria,3526,107,601,2818,23835,206139589,226,63,496122,0
145,North Macedonia,1586,90,1099,397,18410,2083374,83,59,0,707000
146,Norway,8055,218,32,7805,195921,5421241,15,83,438623,5688000
147,Oman,3112,16,1025,2071,50000,5106626,16,87,84158,2301000
148,Pakistan,26435,599,7530,18306,257247,220892340,287,35,0,0
149,Palestine,375,2,226,147,34511,18094,39,0,0,106000
150,Panama,7868,225,886,6757,39093,4314767,58,68,75494,1785000
151,Papua New Guinea,8,0,8,0,2402,8947024,20,13,22114,140000
152,Paraguay,563,10,152,401,13846,7132538,18,62,45376,1181000
153,Peru,61847,1714,19012,41121,473190,32971854,26,79,244163,4419000
154,Philippines,10463,696,1734,8033,151080,109581078,368,47,389048,7168000
155,Poland,15366,776,5184,9406,443506,37846611,124,60,643274,19622000
156,Portugal,27268,1114,2422,23732,501718,10196709,111,66,249912,16186000
157,Qatar,20201,12,2370,17819,120458,2881053,248,96,204008,1819300
158,Romania,14811,923,6423,7465,237280,19237691,84,55,263133,11720000
159,Russia,187859,1723,26608,159528,4980000,145934462,9,74,1667460,24551000
160,Rwanda,273,0,136,137,40187,12952218,525,18,11062,0
161,Réunion,427,0,354,73,17200,895312,358,67,0,164000
162,S. Korea,10822,256,9484,1082,654863,51269185,527,82,1744360,15347000
163,Saint Kitts and Nevis,15,0,12,3,327,53199,205,33,1118,125000
164,Saint Lucia,18,0,17,1,575,183627,301,19,2069,395000
165,Saint Martin,38,3,30,5,0,38666,730,0,903,0
166,Saint Pierre Miquelon,1,0,0,1,0,5794,25,100,960,0
167,San Marino,623,41,114,468,2860,33931,566,97,1672,84000
168,Sao Tome and Principe,208,5,4,199,175,219159,228,74,527,33400
169,Saudi Arabia,35432,229,9120,26083,418722,34813871,16,84,790062,15334000
170,Senegal,1551,13,611,927,18969,16743927,87,49,28062,0
171,Serbia,9943,209,2453,7281,128805,8737371,100,56,56886,1711000
172,Seychelles,11,0,8,3,0,98347,214,56,1739,362000
173,Sierra Leone,257,17,54,186,0,7976983,111,43,4221,57000
174,Singapore,21707,20,2040,19647,175604,5850342,8358,0,391875,14673000
175,Sint Maarten,76,14,44,18,329,42876,1261,96,0,178000
176,Slovakia,1455,26,905,524,114461,5459642,114,54,117399,2256000
177,Slovenia,1450,100,252,1098,59978,2078938,103,55,58213,4425000
178,Somalia,928,44,106,778,0,15893222,25,47,8341,0
179,South Africa,8895,178,3153,5564,307752,59308690,49,67,386727,10472000
180,South Sudan,120,0,2,118,1247,11193725,18,25,2796,0
181,Spain,260117,26299,168408,65410,1932455,46754778,94,80,1497080,82773000
182,Sri Lanka,824,9,240,575,32078,21413249,341,18,89942,2334000
183,St. Barth,6,0,6,0,0,10000,400,53,0,0
184,St. Vincent Grenadines,17,0,9,8,137,110940,284,80,0,80000
185,Sudan,1111,59,102,950,0,43849260,25,35,0,836000
186,Suriname,10,1,9,0,404,586632,4,65,3919,278000
187,Sweden,25265,3175,4971,17119,148500,10099265,25,88,576720,7440000
188,Switzerland,30207,1823,26100,2284,301675,8654622,219,74,740702,10362000
189,Syria,47,3,29,15,0,17500658,95,60,0,0
190,Taiwan,440,6,355,79,66460,23816775,673,79,633695,1000000
191,Tajikistan,522,12,0,510,0,9537645,68,27,7838,1035000
192,Tanzania,480,16,167,297,0,59734218,67,37,64888,1378000
193,Thailand,3000,55,2784,161,227860,69799978,137,51,547431,38178000
194,Timor-Leste,24,0,21,3,738,1318445,89,33,3413,75000
195,Togo,145,10,85,50,9657,8278724,152,24,6132,573000
196,Trinidad and Tobago,116,8,103,5,2229,1399488,273,52,23235,375000
197,Tunisia,1026,44,600,382,25967,11818619,76,70,35150,8299000
198,Turkey,135569,3689,86396,45484,1298806,84339067,110,53,809555,45768000
199,Turks and Caicos,12,1,8,3,109,38717,41,69,0,441000
200,UAE,16793,174,3837,12782,1200000,9890402,118,86,449130,21286000
201,UK,211364,31241,0,179779,1631561,67886011,281,83,2927080,36316000
202,USA,1318504,78492,221919,1018093,8573610,331002651,36,83,22198100,79745920
203,Uganda,101,0,55,46,50711,45741007,229,26,33620,1402000
204,Ukraine,14195,361,2706,11128,159155,43733762,75,69,147170,14104000
205,Uruguay,684,17,492,175,25698,3473730,20,96,63421,3469000
206,Uzbekistan,2325,10,1775,540,325000,33469203,79,50,55482,5346000
207,Vatican City,12,0,2,10,0,307145,25,24,994,116000
208,Venezuela,381,10,185,186,502771,28435940,32,0,70106,427000
209,Vietnam,288,0,241,47,261004,97338579,314,0,282372,15498000
210,Western Sahara,6,0,5,1,0,597339,2,87,0,381000
211,Yemen,34,7,1,26,120,29825964,56,38,31385,0
212,Zambia,167,4,111,52,10270,18383955,25,45,25272,1072000
213,Zimbabwe,34,4,9,21,16052,14862924,38,38,25812,2580000
